Rank,Title,Score,Type,Episodes,Aired_Date,Members
949,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka V: Houjou no Megami-hen,7.89,TV,15,Oct 2024 - Mar 2025,"229,224 members"
950,Final Fantasy VII: Advent Children Complete,7.89,OVA,1,Apr 2009 - Apr 2009,"139,099 members"
951,Golden Kamuy,7.89,TV,12,Apr 2018 - Jun 2018,"468,252 members"
952,Hanasaku Iroha,7.89,TV,26,Apr 2011 - Sep 2011,"349,541 members"
953,Hoozuki no Reitetsu 2nd Season,7.89,TV,13,Oct 2017 - Dec 2017,"51,742 members"
954,Koukaku Kidoutai (TV),7.89,TV,10,Jul 2026 - Sep 2026,"93,154 members"
955,Log Horizon,7.89,TV,25,Oct 2013 - Mar 2014,"1,192,839 members"
956,Macross,7.89,TV,36,Oct 1982 - Jun 1983,"126,271 members"
957,Meitantei Conan OVA 09: 10-nengo no Stranger,7.89,OVA,1,Jun 2009 - Jun 2009,"22,809 members"
958,One Piece: Gyojin Tou-hen,7.89,TV,21,Nov 2024 - Mar 2025,"41,445 members"
959,Ore Monogatari!!,7.89,TV,24,Apr 2015 - Sep 2015,"743,881 members"
960,Overlord,7.89,TV,13,Jul 2015 - Sep 2015,"1,779,348 members"
961,Paradise Kiss,7.89,TV,12,Oct 2005 - Dec 2005,"265,916 members"
962,Rock wa Lady no Tashinami deshite,7.89,TV,13,Apr 2025 - Jun 2025,"87,174 members"
963,Romantic Killer,7.89,ONA,12,Oct 2022 - Oct 2022,"304,296 members"
964,Shingeki no Kyojin Movie 1: Guren no Yumiya,7.89,Movie,1,Nov 2014 - Nov 2014,"148,817 members"
965,Shirokuma Cafe,7.89,TV,50,Apr 2012 - Mar 2013,"103,438 members"
966,Space☆Dandy,7.89,TV,13,Jan 2014 - Mar 2014,"395,671 members"
967,Tamayura: Sotsugyou Shashin Part 3 - Akogare,7.89,Movie,1,Nov 2015 - Nov 2015,"12,123 members"
968,Tate no Yuusha no Nariagari,7.89,TV,25,Jan 2019 - Jun 2019,"1,789,598 members"
969,Wu Dong Qian Kun 5th Season,7.89,ONA,12,Jan 2025 - Jan 2025,"2,630 members"
970,Ze Tian Ji (2026),7.89,ONA,26,Jan 2026 - Jul 2026,"1,901 members"
971,Zoku Sayonara Zetsubou Sensei,7.89,TV,13,Jan 2008 - Mar 2008,"141,324 members"
972,Aria the Avvenire,7.88,Special,3,Sep 2015 - Sep 2015,"31,956 members"
973,Code Geass: Hangyaku no Lelouch I - Koudou,7.88,Movie,1,Oct 2017 - Oct 2017,"115,706 members"
974,Drifters,7.88,TV,12,Oct 2016 - Dec 2016,"625,004 members"
975,Free! Eternal Summer: Kindan no All Hard!,7.88,Special,1,Mar 2015 - Mar 2015,"99,269 members"
976,Go! Princess Precure,7.88,TV,50,Feb 2015 - Jan 2016,"35,235 members"
977,InuYasha,7.88,TV,167,Oct 2000 - Sep 2004,"870,246 members"
978,Jian Lai,7.88,ONA,26,Aug 2024 - Dec 2024,"3,104 members"
979,Jormungand: Perfect Order,7.88,TV,12,Oct 2012 - Dec 2012,"211,099 members"
980,Kidou Senshi Gundam: Suisei no Majo Season 2,7.88,TV,12,Apr 2023 - Jul 2023,"111,865 members"
981,Lupin the IIIrd: Chikemuri no Ishikawa Goemon,7.88,Movie,1,Feb 2017 - Feb 2017,"46,706 members"
982,Macross F,7.88,TV,25,Apr 2008 - Sep 2008,"157,100 members"
983,Meitantei Conan Movie 02: 14-banme no Target,7.88,Movie,1,Apr 1998 - Apr 1998,"71,006 members"
984,New Initial D Movie: Legend 3 - Mugen,7.88,Movie,1,Feb 2016 - Feb 2016,"32,819 members"
985,Osomatsu-san Movie,7.88,Movie,1,Mar 2019 - Mar 2019,"17,335 members"
986,Promare,7.88,Movie,1,May 2019 - May 2019,"307,015 members"
987,Quanzhi Gaoshou 2,7.88,ONA,12,Sep 2020 - Dec 2020,"131,180 members"
988,Sakigake!! Cromartie Koukou,7.88,TV,26,Oct 2003 - Mar 2004,"157,001 members"
989,School Rumble,7.88,TV,26,Oct 2004 - Mar 2005,"347,429 members"
990,Shijou Saikyou no Deshi Kenichi OVA,7.88,OVA,11,Mar 2012 - May 2014,"62,893 members"
991,SKET Dance: Imouto no Nayami ni Nayamu Ani ni Nayamu Imouto to Sono Nakama-tachi,7.88,OVA,1,Feb 2013 - Feb 2013,"23,826 members"
992,Tennis no Oujisama: Zenkoku Taikai-hen,7.88,OVA,13,Mar 2006 - Mar 2007,"49,925 members"
993,Urusei Yatsura 2: Beautiful Dreamer,7.88,Movie,1,Feb 1984 - Feb 1984,"25,044 members"
994,Ushio to Tora (TV) 2nd Season,7.88,TV,13,Apr 2016 - Jun 2016,"141,688 members"
995,Yagate Kimi ni Naru,7.88,TV,13,Oct 2018 - Dec 2018,"389,997 members"
996,Yuusha-Ou GaoGaiGar,7.88,TV,49,Feb 1997 - Jan 1998,"25,674 members"
997,Zetsuen no Tempest,7.88,TV,24,Oct 2012 - Mar 2013,"629,609 members"
998,Berserk: Ougon Jidai-hen II - Doldrey Kouryaku,7.87,Movie,1,Jun 2012 - Jun 2012,"235,596 members"
999,Carnival Phantasm,7.87,OVA,12,Aug 2011 - Dec 2011,"212,902 members"
1000,Death Billiards,7.87,Movie,1,Mar 2013 - Mar 2013,"254,233 members"
1001,Free! Movie 5: The Final Stroke - Kouhen,7.87,Movie,1,Apr 2022 - Apr 2022,"48,925 members"
